	ROC_12_25
0.000419081	0.855000
0.000421467	0.857000
0.000425286	0.860000
0.000426718	0.862000
0.000432923	0.863000
0.000435787	0.864000
0.000437219	0.867000
0.000437696	0.868000
0.000440082	0.869000
0.00044056	0.871000
0.000441514	0.872000
0.000444378	0.875000
0.000450583	0.876000
0.000453447	0.877000
0.00046013	0.878000
0.000461562	0.879000
0.000464425	0.880000
0.00046538	0.881000
0.000467289	0.882000
0.00047063	0.883000
0.000474449	0.888000
0.000485904	0.889000
0.000487814	0.890000
0.000490678	0.891000
0.000491155	0.892000
0.000492587	0.893000
0.00049736	0.896000
0.000499747	0.897000
0.000500224	0.904000
0.000501178	0.907000
0.000519794	0.908000
0.000521703	0.910000
0.00052218	0.911000
0.000525999	0.913000
0.000528385	0.914000
0.000532681	0.915000
0.000535545	0.916000
0.000539841	0.917000
0.000550342	0.918000
0.000555115	0.919000
0.000556069	0.920000
0.000557501	0.922000
0.00056132	0.924000
0.000565616	0.925000
0.000571343	0.926000
0.000594732	0.927000
0.000596641	0.928000
0.00059855	0.929000
0.000622416	0.930000
0.000631962	0.934000
0.000635781	0.938000
0.000641031	0.939000
0.000652009	0.940000
0.00065726	0.941000
0.000668715	0.942000
0.000678262	0.943000
0.000678739	0.944000
0.000691626	0.945000
0.000693536	0.948000
0.000697831	0.949000
0.000707855	0.951000
0.000708332	0.952000
0.000718356	0.953000
0.000721697	0.954000
0.000727425	0.955000
0.000740312	0.957000
0.000747472	0.958000
0.000758927	0.960000
0.000764178	0.961000
0.00078327	0.962000
0.000796158	0.963000
0.000824797	0.964000
0.000830524	0.965000
0.000895439	0.966000
0.000902121	0.967000
0.000911668	0.968000
0.000913099	0.969000
0.000916918	0.970000
0.001094	0.971000
0.00126202	0.972000
0.00127968	0.973000
0.00128063	0.975000
0.00129304	0.976000
0.00129925	0.977000
0.00130211	0.978000
0.0013045	0.979000
0.00132932	0.980000
0.00135414	0.981000
0.00140903	0.982000
0.00149256	0.983000
0.00152358	0.984000
0.0015379	0.985000
0.00157179	0.986000
0.0017021	0.987000
0.00180997	0.988000
0.00195746	0.989000
0.00241138	0.990000
0.0024448	0.991000
0.00252594	0.992000
0.00255792	0.993000
0.002756	0.994000
0.00280374	0.995000
0.00284335	0.996000
0.00290874	0.997000
0.00329919	0.998000
0.0033789	0.999000
0.005	0.999776
	ROC_12_28
0	0
1.90925e-06	0.006000
2.38656e-06	0.007000
2.86388e-06	0.008000
3.34119e-06	0.015000
3.8185e-06	0.016000
4.77313e-06	0.017000
5.25044e-06	0.021000
5.72775e-06	0.023000
6.20507e-06	0.025000
6.68238e-06	0.027000
7.15969e-06	0.036000
8.11432e-06	0.037000
9.54626e-06	0.039000
1.00236e-05	0.041000
1.05009e-05	0.042000
1.09782e-05	0.048000
1.19328e-05	0.053000
1.24101e-05	0.056000
1.28874e-05	0.065000
1.33648e-05	0.066000
1.38421e-05	0.069000
1.43194e-05	0.071000
1.57513e-05	0.072000
1.62286e-05	0.073000
1.67059e-05	0.074000
1.71833e-05	0.077000
1.76606e-05	0.086000
1.86152e-05	0.096000
1.90925e-05	0.098000
1.95698e-05	0.102000
2.00471e-05	0.104000
2.05245e-05	0.106000
2.10018e-05	0.118000
2.14791e-05	0.119000
2.19564e-05	0.120000
2.24337e-05	0.122000
2.2911e-05	0.125000
2.33883e-05	0.127000
2.4343e-05	0.128000
2.52976e-05	0.134000
2.57749e-05	0.139000
2.62522e-05	0.142000
2.67295e-05	0.144000
2.72068e-05	0.149000
2.81615e-05	0.153000
2.86388e-05	0.157000
2.91161e-05	0.158000
3.0548e-05	0.159000
3.15026e-05	0.161000
3.198e-05	0.169000
3.24573e-05	0.171000
3.29346e-05	0.179000
3.34119e-05	0.180000
3.38892e-05	0.181000
3.43665e-05	0.184000
3.48438e-05	0.185000
3.53212e-05	0.187000
